replicate_full	Read_1_file	Read_2_file	read_len	amplicon_size	amplicon_sd	min_overlap	max_mismatch_dens	output_file
BID_H7_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C1_S62_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C1_S62_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_C1.extendedFrags.fastq.gz
BID_H7_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C2_S63_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C2_S63_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_C2.extendedFrags.fastq.gz
BID_H7_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C3_S64_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C3_S64_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_C3.extendedFrags.fastq.gz
BID_H7_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C4_S65_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C4_S65_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_C4.extendedFrags.fastq.gz
BID_H7_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C5_S66_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C5_S66_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_C5.extendedFrags.fastq.gz
BID_H7_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C6_S67_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C6_S67_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_C6.extendedFrags.fastq.gz
BID_H7_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C7_S68_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C7_S68_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_C7.extendedFrags.fastq.gz
BID_H7_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C8_S69_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C8_S69_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_C8.extendedFrags.fastq.gz
BID_H7_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G1_S58_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G1_S58_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_G1.extendedFrags.fastq.gz
BID_H7_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G2_S59_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G2_S59_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_G2.extendedFrags.fastq.gz
