name	replicate	replicate_full	rsid	hgnc	sample	type	PCR	prefix	Read_1_file	Read_2_file	bam
BID	c1	BID_H7_C1	rs183393610	BID	H7	cDNA	NA	H7_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C1_S62_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C1_S62_L001_R2_001.fastq.gz	NA
BID	c2	BID_H7_C2	rs183393610	BID	H7	cDNA	NA	H7_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C2_S63_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C2_S63_L001_R2_001.fastq.gz	NA
BID	c3	BID_H7_C3	rs183393610	BID	H7	cDNA	NA	H7_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C3_S64_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C3_S64_L001_R2_001.fastq.gz	NA
BID	c4	BID_H7_C4	rs183393610	BID	H7	cDNA	NA	H7_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C4_S65_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C4_S65_L001_R2_001.fastq.gz	NA
BID	c5	BID_H7_C5	rs183393610	BID	H7	cDNA	NA	H7_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C5_S66_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C5_S66_L001_R2_001.fastq.gz	NA
BID	c6	BID_H7_C6	rs183393610	BID	H7	cDNA	NA	H7_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C6_S67_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C6_S67_L001_R2_001.fastq.gz	NA
BID	c7	BID_H7_C7	rs183393610	BID	H7	cDNA	NA	H7_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C7_S68_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C7_S68_L001_R2_001.fastq.gz	NA
BID	c8	BID_H7_C8	rs183393610	BID	H7	cDNA	NA	H7_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C8_S69_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-C8_S69_L001_R2_001.fastq.gz	NA
BID	g1	BID_H7_G1	rs183393610	BID	H7	gDNA	NA	H7_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G1_S58_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G1_S58_L001_R2_001.fastq.gz	NA
BID	g2	BID_H7_G2	rs183393610	BID	H7	gDNA	NA	H7_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G2_S59_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G2_S59_L001_R2_001.fastq.gz	NA
BID	g3	BID_H7_G3	rs183393610	BID	H7	gDNA	NA	H7_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G3_S60_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G3_S60_L001_R2_001.fastq.gz	NA
BID	g4	BID_H7_G4	rs183393610	BID	H7	gDNA	NA	H7_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G4_S61_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G4_S61_L001_R2_001.fastq.gz	NA
BRAP	g1	BRAP_H4_G1	rs184354242	BRAP	H4	gDNA	NA	H4_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G1_S25_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G1_S25_L001_R2_001.fastq.gz	NA
BRAP	g2	BRAP_H4_G2	rs184354242	BRAP	H4	gDNA	NA	H4_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G2_S26_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G2_S26_L001_R2_001.fastq.gz	NA
BRAP	g3	BRAP_H4_G3	rs184354242	BRAP	H4	gDNA	NA	H4_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G3_S27_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G3_S27_L001_R2_001.fastq.gz	NA
BRAP	g4	BRAP_H4_G4	rs184354242	BRAP	H4	gDNA	NA	H4_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G4_S28_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G4_S28_L001_R2_001.fastq.gz	NA
C2CD5	c1	C2CD5_H8_C1	rs76639840	C2CD5	H8	cDNA	NA	H8_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C1_S74_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C1_S74_L001_R2_001.fastq.gz	NA
C2CD5	c2	C2CD5_H8_C2	rs76639840	C2CD5	H8	cDNA	NA	H8_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C2_S75_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C2_S75_L001_R2_001.fastq.gz	NA
C2CD5	c3	C2CD5_H8_C3	rs76639840	C2CD5	H8	cDNA	NA	H8_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C3_S76_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C3_S76_L001_R2_001.fastq.gz	NA
C2CD5	c4	C2CD5_H8_C4	rs76639840	C2CD5	H8	cDNA	NA	H8_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C4_S77_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C4_S77_L001_R2_001.fastq.gz	NA
C2CD5	c5	C2CD5_H8_C5	rs76639840	C2CD5	H8	cDNA	NA	H8_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C5_S78_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C5_S78_L001_R2_001.fastq.gz	NA
C2CD5	c6	C2CD5_H8_C6	rs76639840	C2CD5	H8	cDNA	NA	H8_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C6_S79_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C6_S79_L001_R2_001.fastq.gz	NA
C2CD5	c7	C2CD5_H8_C7	rs76639840	C2CD5	H8	cDNA	NA	H8_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C7_S80_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C7_S80_L001_R2_001.fastq.gz	NA
C2CD5	c8	C2CD5_H8_C8	rs76639840	C2CD5	H8	cDNA	NA	H8_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C8_S81_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C8_S81_L001_R2_001.fastq.gz	NA
C2CD5	g1	C2CD5_H8_G1	rs76639840	C2CD5	H8	gDNA	NA	H8_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G1_S70_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G1_S70_L001_R2_001.fastq.gz	NA
C2CD5	g2	C2CD5_H8_G2	rs76639840	C2CD5	H8	gDNA	NA	H8_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G2_S71_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G2_S71_L001_R2_001.fastq.gz	NA
C2CD5	g3	C2CD5_H8_G3	rs76639840	C2CD5	H8	gDNA	NA	H8_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G3_S72_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G3_S72_L001_R2_001.fastq.gz	NA
C2CD5	g4	C2CD5_H8_G4	rs76639840	C2CD5	H8	gDNA	NA	H8_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G4_S73_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G4_S73_L001_R2_001.fastq.gz	NA
CEP104	c1	CEP104_H14_C1	rs116831330	CEP104	H14	cDNA	NA	H14_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C1_S126_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C1_S126_L001_R2_001.fastq.gz	NA
CEP104	c2	CEP104_H14_C2	rs116831330	CEP104	H14	cDNA	NA	H14_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C2_S127_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C2_S127_L001_R2_001.fastq.gz	NA
CEP104	c3	CEP104_H14_C3	rs116831330	CEP104	H14	cDNA	NA	H14_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C3_S128_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C3_S128_L001_R2_001.fastq.gz	NA
CEP104	c4	CEP104_H14_C4	rs116831330	CEP104	H14	cDNA	NA	H14_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C4_S129_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C4_S129_L001_R2_001.fastq.gz	NA
CEP104	c5	CEP104_H14_C5	rs116831330	CEP104	H14	cDNA	NA	H14_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C5_S130_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C5_S130_L001_R2_001.fastq.gz	NA
