name	replicate	type	bam
BID	BID_H7_C7	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_C7_filtered.bam
BID	BID_H7_C6	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_C6_filtered.bam
BID	BID_H7_C8	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_C8_filtered.bam
BID	BID_H7_C5	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_C5_filtered.bam
BID	BID_H7_C2	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_C2_filtered.bam
BID	BID_H7_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_G2_filtered.bam
BID	BID_H7_G4	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_G4_filtered.bam
C2CD5	C2CD5_H8_C2	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_C2_filtered.bam
BID	BID_H7_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_G3_filtered.bam
C2CD5	C2CD5_H8_C4	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_C4_filtered.bam
BID	BID_H7_C4	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_C4_filtered.bam
BID	BID_H7_C3	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_C3_filtered.bam
C2CD5	C2CD5_H8_C6	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_C6_filtered.bam
C2CD5	C2CD5_H8_C1	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_C1_filtered.bam
C2CD5	C2CD5_H8_C5	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_C5_filtered.bam
BID	BID_H7_G1	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_G1_filtered.bam
C2CD5	C2CD5_H8_G1	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_G1_filtered.bam
C2CD5	C2CD5_H8_C3	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_C3_filtered.bam
C2CD5	C2CD5_H8_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_G3_filtered.bam
CEP104	CEP104_H14_C6	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_H14_C6_filtered.bam
C2CD5	C2CD5_H8_G4	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_G4_filtered.bam
C2CD5	C2CD5_H8_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_H8_G2_filtered.bam
CEP104	CEP104_H14_G1	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_H14_G1_filtered.bam
BID	BID_H7_C1	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/BID_H7_C1_filtered.bam
CEP104	CEP104_H14_C8	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_H14_C8_filtered.bam
CEP104	CEP104_H14_C7	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/HL60/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_H14_C7_filtered.bam
