name	replicate	replicate_full	rsid	hgnc	sample	type	PCR	prefix	Read_1_file	Read_2_file	bam
BID	c1	BID_12_c1	rs183393610	BID	12	c	NA	12_c1	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c1_S53_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c1_S53_L001_R2_001.fastq.gz	NA
BID	c2	BID_12_c2	rs183393610	BID	12	c	NA	12_c2	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c2_S54_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c2_S54_L001_R2_001.fastq.gz	NA
BID	c3	BID_12_c3	rs183393610	BID	12	c	NA	12_c3	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c3_S55_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c3_S55_L001_R2_001.fastq.gz	NA
BID	c4	BID_12_c4	rs183393610	BID	12	c	NA	12_c4	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c4_S56_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c4_S56_L001_R2_001.fastq.gz	NA
BID	c5	BID_12_c5	rs183393610	BID	12	c	NA	12_c5	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c5_S57_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c5_S57_L001_R2_001.fastq.gz	NA
BID	c6	BID_12_c6	rs183393610	BID	12	c	NA	12_c6	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c6_S58_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c6_S58_L001_R2_001.fastq.gz	NA
BID	c7	BID_12_c7	rs183393610	BID	12	c	NA	12_c7	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c7_S59_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c7_S59_L001_R2_001.fastq.gz	NA
BID	c8	BID_12_c8	rs183393610	BID	12	c	NA	12_c8	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c8_S60_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_c8_S60_L001_R2_001.fastq.gz	NA
BID	g1	BID_12_g1	rs183393610	BID	12	g	NA	12_g1	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_g1_S49_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_g1_S49_L001_R2_001.fastq.gz	NA
BID	g2	BID_12_g2	rs183393610	BID	12	g	NA	12_g2	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_g2_S50_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_g2_S50_L001_R2_001.fastq.gz	NA
BID	g3	BID_12_g3	rs183393610	BID	12	g	NA	12_g3	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_g3_S51_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_g3_S51_L001_R2_001.fastq.gz	NA
BID	g4	BID_12_g4	rs183393610	BID	12	g	NA	12_g4	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_g4_S52_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/12_g4_S52_L001_R2_001.fastq.gz	NA
BRAP	c1	BRAP_6_c1	rs184354242	BRAP	6	c	NA	6_c1	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c1_S125_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c1_S125_L001_R2_001.fastq.gz	NA
BRAP	c2	BRAP_6_c2	rs184354242	BRAP	6	c	NA	6_c2	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c2_S126_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c2_S126_L001_R2_001.fastq.gz	NA
BRAP	c3	BRAP_6_c3	rs184354242	BRAP	6	c	NA	6_c3	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c3_S127_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c3_S127_L001_R2_001.fastq.gz	NA
BRAP	c4	BRAP_6_c4	rs184354242	BRAP	6	c	NA	6_c4	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c4_S128_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c4_S128_L001_R2_001.fastq.gz	NA
BRAP	c5	BRAP_6_c5	rs184354242	BRAP	6	c	NA	6_c5	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c5_S129_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c5_S129_L001_R2_001.fastq.gz	NA
BRAP	c6	BRAP_6_c6	rs184354242	BRAP	6	c	NA	6_c6	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c6_S130_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/K562/6_c6_S130_L001_R2_001.fastq.gz	NA
