name	replicate	type	bam
BID	BID_12_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_c1_filtered.bam
BID	BID_12_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_c3_filtered.bam
BID	BID_12_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_c6_filtered.bam
BID	BID_12_g2	g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_g2_filtered.bam
BID	BID_12_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_c2_filtered.bam
BID	BID_12_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_c7_filtered.bam
BRAP	BRAP_6_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_c1_filtered.bam
BRAP	BRAP_6_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_c4_filtered.bam
BID	BID_12_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_c4_filtered.bam
BID	BID_12_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_g1_filtered.bam
BRAP	BRAP_6_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_c8_filtered.bam
BRAP	BRAP_6_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_c6_filtered.bam
BRAP	BRAP_6_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_c3_filtered.bam
BRAP	BRAP_6_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_c7_filtered.bam
BRAP	BRAP_6_g2	g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_g2_filtered.bam
BID	BID_12_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_c8_filtered.bam
BRAP	BRAP_6_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_g1_filtered.bam
BID	BID_12_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_g3_filtered.bam
BRAP	BRAP_6_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_c2_filtered.bam
BID	BID_12_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_g4_filtered.bam
BRAP	BRAP_6_c5	c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_c5_filtered.bam
C2CD5	C2CD5_14_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_c4_filtered.bam
BRAP	BRAP_6_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_g3_filtered.bam
C2CD5	C2CD5_14_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_c1_filtered.bam
C2CD5	C2CD5_14_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_c6_filtered.bam
BID	BID_12_c5	c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BID_12_c5_filtered.bam
BRAP	BRAP_6_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_6_g4_filtered.bam
C2CD5	C2CD5_14_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_c3_filtered.bam
C2CD5	C2CD5_14_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_g1_filtered.bam
C2CD5	C2CD5_14_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_g4_filtered.bam
CUX1	CUX1_3_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_c3_filtered.bam
