replicate_full	Read_1_file	Read_2_file	read_len	amplicon_size	amplicon_sd	min_overlap	max_mismatch_dens	output_file
BID_T18_C1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C1_S58_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C1_S58_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_C1.extendedFrags.fastq.gz
BID_T18_C2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C2_S59_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C2_S59_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_C2.extendedFrags.fastq.gz
BID_T18_C3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C3_S60_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C3_S60_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_C3.extendedFrags.fastq.gz
BID_T18_C4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C4_S61_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C4_S61_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_C4.extendedFrags.fastq.gz
BID_T18_C5	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C5_S62_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C5_S62_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_C5.extendedFrags.fastq.gz
BID_T18_C6	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C6_S63_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C6_S63_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_C6.extendedFrags.fastq.gz
BID_T18_C7	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C7_S64_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C7_S64_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_C7.extendedFrags.fastq.gz
BID_T18_C8	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C8_S65_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C8_S65_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_C8.extendedFrags.fastq.gz
BID_T18_G1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G1_S54_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G1_S54_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_G1.extendedFrags.fastq.gz
BID_T18_G2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G2_S55_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G2_S55_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_T18_G2.extendedFrags.fastq.gz
