name	replicate	replicate_full	rsid	hgnc	sample	type	PCR	prefix	Read_1_file	Read_2_file	bam
BID	c1	BID_T18_C1	rs183393610	BID	T18	cDNA	NA	T18_C1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C1_S58_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C1_S58_L001_R2_001.fastq.gz	NA
BID	c2	BID_T18_C2	rs183393610	BID	T18	cDNA	NA	T18_C2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C2_S59_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C2_S59_L001_R2_001.fastq.gz	NA
BID	c3	BID_T18_C3	rs183393610	BID	T18	cDNA	NA	T18_C3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C3_S60_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C3_S60_L001_R2_001.fastq.gz	NA
BID	c4	BID_T18_C4	rs183393610	BID	T18	cDNA	NA	T18_C4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C4_S61_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C4_S61_L001_R2_001.fastq.gz	NA
BID	c5	BID_T18_C5	rs183393610	BID	T18	cDNA	NA	T18_C5	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C5_S62_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C5_S62_L001_R2_001.fastq.gz	NA
BID	c6	BID_T18_C6	rs183393610	BID	T18	cDNA	NA	T18_C6	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C6_S63_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C6_S63_L001_R2_001.fastq.gz	NA
BID	c7	BID_T18_C7	rs183393610	BID	T18	cDNA	NA	T18_C7	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C7_S64_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C7_S64_L001_R2_001.fastq.gz	NA
BID	c8	BID_T18_C8	rs183393610	BID	T18	cDNA	NA	T18_C8	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C8_S65_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-C8_S65_L001_R2_001.fastq.gz	NA
BID	g1	BID_T18_G1	rs183393610	BID	T18	gDNA	NA	T18_G1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G1_S54_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G1_S54_L001_R2_001.fastq.gz	NA
BID	g2	BID_T18_G2	rs183393610	BID	T18	gDNA	NA	T18_G2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G2_S55_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G2_S55_L001_R2_001.fastq.gz	NA
BID	g3	BID_T18_G3	rs183393610	BID	T18	gDNA	NA	T18_G3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G3_S56_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G3_S56_L001_R2_001.fastq.gz	NA
BID	g4	BID_T18_G4	rs183393610	BID	T18	gDNA	NA	T18_G4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G4_S57_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T18-G4_S57_L001_R2_001.fastq.gz	NA
BRAP	c1	BRAP_T15_C1	rs184354242	BRAP	T15	cDNA	NA	T15_C1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C1_S29_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C1_S29_L001_R2_001.fastq.gz	NA
BRAP	c2	BRAP_T15_C2	rs184354242	BRAP	T15	cDNA	NA	T15_C2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C2_S30_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C2_S30_L001_R2_001.fastq.gz	NA
BRAP	c3	BRAP_T15_C3	rs184354242	BRAP	T15	cDNA	NA	T15_C3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C3_S31_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C3_S31_L001_R2_001.fastq.gz	NA
BRAP	c4	BRAP_T15_C4	rs184354242	BRAP	T15	cDNA	NA	T15_C4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C4_S32_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C4_S32_L001_R2_001.fastq.gz	NA
BRAP	c5	BRAP_T15_C5	rs184354242	BRAP	T15	cDNA	NA	T15_C5	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C5_S33_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C5_S33_L001_R2_001.fastq.gz	NA
BRAP	c6	BRAP_T15_C6	rs184354242	BRAP	T15	cDNA	NA	T15_C6	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C6_S34_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C6_S34_L001_R2_001.fastq.gz	NA
BRAP	c7	BRAP_T15_C7	rs184354242	BRAP	T15	cDNA	NA	T15_C7	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C7_S35_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C7_S35_L001_R2_001.fastq.gz	NA
BRAP	c8	BRAP_T15_C8	rs184354242	BRAP	T15	cDNA	NA	T15_C8	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C8_S36_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-C8_S36_L001_R2_001.fastq.gz	NA
BRAP	g1	BRAP_T15_G1	rs184354242	BRAP	T15	gDNA	NA	T15_G1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-G1_S25_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-G1_S25_L001_R2_001.fastq.gz	NA
BRAP	g2	BRAP_T15_G2	rs184354242	BRAP	T15	gDNA	NA	T15_G2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-G2_S26_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-G2_S26_L001_R2_001.fastq.gz	NA
BRAP	g3	BRAP_T15_G3	rs184354242	BRAP	T15	gDNA	NA	T15_G3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-G3_S27_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-G3_S27_L001_R2_001.fastq.gz	NA
BRAP	g4	BRAP_T15_G4	rs184354242	BRAP	T15	gDNA	NA	T15_G4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-G4_S28_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T15-G4_S28_L001_R2_001.fastq.gz	NA
C2CD5	c1	C2CD5_T19_C1	rs76639840	C2CD5	T19	cDNA	NA	T19_C1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C1_S70_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C1_S70_L001_R2_001.fastq.gz	NA
C2CD5	c2	C2CD5_T19_C2	rs76639840	C2CD5	T19	cDNA	NA	T19_C2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C2_S71_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C2_S71_L001_R2_001.fastq.gz	NA
C2CD5	c3	C2CD5_T19_C3	rs76639840	C2CD5	T19	cDNA	NA	T19_C3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C3_S72_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C3_S72_L001_R2_001.fastq.gz	NA
C2CD5	c4	C2CD5_T19_C4	rs76639840	C2CD5	T19	cDNA	NA	T19_C4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C4_S73_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C4_S73_L001_R2_001.fastq.gz	NA
C2CD5	c5	C2CD5_T19_C5	rs76639840	C2CD5	T19	cDNA	NA	T19_C5	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C5_S74_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C5_S74_L001_R2_001.fastq.gz	NA
C2CD5	c6	C2CD5_T19_C6	rs76639840	C2CD5	T19	cDNA	NA	T19_C6	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C6_S75_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C6_S75_L001_R2_001.fastq.gz	NA
C2CD5	c7	C2CD5_T19_C7	rs76639840	C2CD5	T19	cDNA	NA	T19_C7	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C7_S76_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C7_S76_L001_R2_001.fastq.gz	NA
C2CD5	c8	C2CD5_T19_C8	rs76639840	C2CD5	T19	cDNA	NA	T19_C8	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C8_S77_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-C8_S77_L001_R2_001.fastq.gz	NA
C2CD5	g1	C2CD5_T19_G1	rs76639840	C2CD5	T19	gDNA	NA	T19_G1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-G1_S66_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-G1_S66_L001_R2_001.fastq.gz	NA
C2CD5	g2	C2CD5_T19_G2	rs76639840	C2CD5	T19	gDNA	NA	T19_G2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-G2_S67_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-G2_S67_L001_R2_001.fastq.gz	NA
C2CD5	g3	C2CD5_T19_G3	rs76639840	C2CD5	T19	gDNA	NA	T19_G3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-G3_S68_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-G3_S68_L001_R2_001.fastq.gz	NA
C2CD5	g4	C2CD5_T19_G4	rs76639840	C2CD5	T19	gDNA	NA	T19_G4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-G4_S69_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T19-G4_S69_L001_R2_001.fastq.gz	NA
CEP104	c1	CEP104_T25_C1	rs116831330	CEP104	T25	cDNA	NA	T25_C1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C1_S130_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C1_S130_L001_R2_001.fastq.gz	NA
CEP104	c2	CEP104_T25_C2	rs116831330	CEP104	T25	cDNA	NA	T25_C2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C2_S131_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C2_S131_L001_R2_001.fastq.gz	NA
CEP104	c3	CEP104_T25_C3	rs116831330	CEP104	T25	cDNA	NA	T25_C3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C3_S132_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C3_S132_L001_R2_001.fastq.gz	NA
CEP104	c4	CEP104_T25_C4	rs116831330	CEP104	T25	cDNA	NA	T25_C4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C4_S133_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C4_S133_L001_R2_001.fastq.gz	NA
CEP104	c5	CEP104_T25_C5	rs116831330	CEP104	T25	cDNA	NA	T25_C5	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C5_S134_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C5_S134_L001_R2_001.fastq.gz	NA
CEP104	c6	CEP104_T25_C6	rs116831330	CEP104	T25	cDNA	NA	T25_C6	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C6_S135_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C6_S135_L001_R2_001.fastq.gz	NA
CEP104	c7	CEP104_T25_C7	rs116831330	CEP104	T25	cDNA	NA	T25_C7	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C7_S136_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C7_S136_L001_R2_001.fastq.gz	NA
CEP104	c8	CEP104_T25_C8	rs116831330	CEP104	T25	cDNA	NA	T25_C8	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C8_S137_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-C8_S137_L001_R2_001.fastq.gz	NA
CEP104	g1	CEP104_T25_G1	rs116831330	CEP104	T25	gDNA	NA	T25_G1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-G1_S126_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-G1_S126_L001_R2_001.fastq.gz	NA
CEP104	g2	CEP104_T25_G2	rs116831330	CEP104	T25	gDNA	NA	T25_G2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-G2_S127_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-G2_S127_L001_R2_001.fastq.gz	NA
CEP104	g3	CEP104_T25_G3	rs116831330	CEP104	T25	gDNA	NA	T25_G3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-G3_S128_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-G3_S128_L001_R2_001.fastq.gz	NA
CEP104	g4	CEP104_T25_G4	rs116831330	CEP104	T25	gDNA	NA	T25_G4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-G4_S129_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T25-G4_S129_L001_R2_001.fastq.gz	NA
CUX1	c1	CUX1_T13_C1	rs139141690	CUX1	T13	cDNA	NA	T13_C1	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T13-C1_S17_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T13-C1_S17_L001_R2_001.fastq.gz	NA
CUX1	c2	CUX1_T13_C2	rs139141690	CUX1	T13	cDNA	NA	T13_C2	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T13-C2_S18_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T13-C2_S18_L001_R2_001.fastq.gz	NA
CUX1	c3	CUX1_T13_C3	rs139141690	CUX1	T13	cDNA	NA	T13_C3	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T13-C3_S19_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T13-C3_S19_L001_R2_001.fastq.gz	NA
CUX1	c4	CUX1_T13_C4	rs139141690	CUX1	T13	cDNA	NA	T13_C4	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T13-C4_S20_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/THP1/T13-C4_S20_L001_R2_001.fastq.gz	NA
