name	replicate	type	bam
BID	BID_T18_C1	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_C1_filtered.bam
BID	BID_T18_C4	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_C4_filtered.bam
BID	BID_T18_C5	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_C5_filtered.bam
BID	BID_T18_C3	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_C3_filtered.bam
BID	BID_T18_C8	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_C8_filtered.bam
BID	BID_T18_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_G2_filtered.bam
BID	BID_T18_C2	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_C2_filtered.bam
BID	BID_T18_G4	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_G4_filtered.bam
BRAP	BRAP_T15_C2	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_C2_filtered.bam
BID	BID_T18_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_G3_filtered.bam
BRAP	BRAP_T15_C4	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_C4_filtered.bam
BRAP	BRAP_T15_C7	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_C7_filtered.bam
BRAP	BRAP_T15_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_G2_filtered.bam
BRAP	BRAP_T15_G1	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_G1_filtered.bam
BID	BID_T18_G1	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_G1_filtered.bam
BRAP	BRAP_T15_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_G3_filtered.bam
BRAP	BRAP_T15_G4	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_G4_filtered.bam
C2CD5	C2CD5_T19_C6	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_C6_filtered.bam
C2CD5	C2CD5_T19_C7	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_C7_filtered.bam
BRAP	BRAP_T15_C5	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_C5_filtered.bam
C2CD5	C2CD5_T19_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_G3_filtered.bam
BRAP	BRAP_T15_C3	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_C3_filtered.bam
C2CD5	C2CD5_T19_G4	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_G4_filtered.bam
C2CD5	C2CD5_T19_C8	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_C8_filtered.bam
CEP104	CEP104_T25_C2	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_C2_filtered.bam
C2CD5	C2CD5_T19_C3	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_C3_filtered.bam
CEP104	CEP104_T25_C1	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_C1_filtered.bam
BRAP	BRAP_T15_C1	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_C1_filtered.bam
C2CD5	C2CD5_T19_C5	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_C5_filtered.bam
C2CD5	C2CD5_T19_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_G2_filtered.bam
BID	BID_T18_C7	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BID_T18_C7_filtered.bam
CEP104	CEP104_T25_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_G3_filtered.bam
CEP104	CEP104_T25_C5	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_C5_filtered.bam
CUX1	CUX1_T13_C5	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_C5_filtered.bam
CEP104	CEP104_T25_C6	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_C6_filtered.bam
CUX1	CUX1_T13_C7	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_C7_filtered.bam
CUX1	CUX1_T13_C6	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_C6_filtered.bam
C2CD5	C2CD5_T19_C2	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_C2_filtered.bam
CEP104	CEP104_T25_G4	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_G4_filtered.bam
BRAP	BRAP_T15_C6	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/BRAP_T15_C6_filtered.bam
DNMT1	DNMT1_T17_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_T17_G2_filtered.bam
CUX1	CUX1_T13_C2	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_C2_filtered.bam
C2CD5	C2CD5_T19_G1	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_G1_filtered.bam
CEP104	CEP104_T25_C4	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_C4_filtered.bam
EPB41	EPB41_T21_C7	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_C7_filtered.bam
DNMT1	DNMT1_T17_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_T17_G3_filtered.bam
CEP104	CEP104_T25_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_G2_filtered.bam
C2CD5	C2CD5_T19_C1	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_C1_filtered.bam
CUX1	CUX1_T13_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_G2_filtered.bam
CUX1	CUX1_T13_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_G3_filtered.bam
EPB41	EPB41_T21_C2	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_C2_filtered.bam
DNMT1	DNMT1_T17_G4	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_T17_G4_filtered.bam
EPB41	EPB41_T21_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_G3_filtered.bam
EPB41	EPB41_T21_G1	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_G1_filtered.bam
EPB41	EPB41_T21_C8	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_C8_filtered.bam
EPB41	EPB41_T21_C3	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_C3_filtered.bam
EPB41	EPB41_T21_C5	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_C5_filtered.bam
CEP104	CEP104_T25_C8	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_C8_filtered.bam
EPB41	EPB41_T21_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_G2_filtered.bam
CEP104	CEP104_T25_C7	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_C7_filtered.bam
FOXP1	FOXP1_T12_C2	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_T12_C2_filtered.bam
EPB41	EPB41_T21_G4	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_G4_filtered.bam
FOXP1	FOXP1_T12_C1	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_T12_C1_filtered.bam
FOXP1	FOXP1_T12_C4	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_T12_C4_filtered.bam
CUX1	CUX1_T13_C1	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_C1_filtered.bam
CUX1	CUX1_T13_G1	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_G1_filtered.bam
EPB41	EPB41_T21_C6	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_T21_C6_filtered.bam
CUX1	CUX1_T13_C8	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_C8_filtered.bam
FOXP1	FOXP1_T12_C6	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_T12_C6_filtered.bam
CEP104	CEP104_T25_G1	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CEP104_T25_G1_filtered.bam
C2CD5	C2CD5_T19_C4	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_T19_C4_filtered.bam
CUX1	CUX1_T13_G4	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_T13_G4_filtered.bam
FOXP1	FOXP1_T12_G2	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_T12_G2_filtered.bam
FOXP1	FOXP1_T12_C3	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_T12_C3_filtered.bam
FOXP1	FOXP1_T12_G3	gDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_T12_G3_filtered.bam
FOXP1	FOXP1_T12_C5	cDNA	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/THP1/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_T12_C5_filtered.bam
