name	replicate	replicate_full	rsid	hgnc	sample	type	PCR	prefix	Read_1_file	Read_2_file	bam
BID	c1	BID_1_12_c1	rs183393610	BID	12	cDNA	NA	1_12_c1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c1_S96_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c1_S96_L001_R2_001.fastq.gz	NA
BID	c2	BID_1_12_c2	rs183393610	BID	12	cDNA	NA	1_12_c2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c2_S95_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c2_S95_L001_R2_001.fastq.gz	NA
BID	c3	BID_1_12_c3	rs183393610	BID	12	cDNA	NA	1_12_c3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c3_S94_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c3_S94_L001_R2_001.fastq.gz	NA
BID	c4	BID_1_12_c4	rs183393610	BID	12	cDNA	NA	1_12_c4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c4_S93_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c4_S93_L001_R2_001.fastq.gz	NA
BID	c5	BID_1_12_c5	rs183393610	BID	12	cDNA	NA	1_12_c5	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c5_S92_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c5_S92_L001_R2_001.fastq.gz	NA
BID	c6	BID_1_12_c6	rs183393610	BID	12	cDNA	NA	1_12_c6	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c6_S91_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_c6_S91_L001_R2_001.fastq.gz	NA
BID	g1	BID_1_12_g1	rs183393610	BID	12	gDNA	NA	1_12_g1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_g1_S99_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_g1_S99_L001_R2_001.fastq.gz	NA
BID	g2	BID_1_12_g2	rs183393610	BID	12	gDNA	NA	1_12_g2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_g2_S98_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_g2_S98_L001_R2_001.fastq.gz	NA
BID	g3	BID_1_12_g3	rs183393610	BID	12	gDNA	NA	1_12_g3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_g3_S97_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/12_g3_S97_L001_R2_001.fastq.gz	NA
BRAP	c1	BRAP_1_6_c1	rs184354242	BRAP	6	cDNA	NA	1_6_c1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c1_S42_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c1_S42_L001_R2_001.fastq.gz	NA
BRAP	c2	BRAP_1_6_c2	rs184354242	BRAP	6	cDNA	NA	1_6_c2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c2_S41_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c2_S41_L001_R2_001.fastq.gz	NA
BRAP	c3	BRAP_1_6_c3	rs184354242	BRAP	6	cDNA	NA	1_6_c3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c3_S40_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c3_S40_L001_R2_001.fastq.gz	NA
BRAP	c4	BRAP_1_6_c4	rs184354242	BRAP	6	cDNA	NA	1_6_c4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c4_S39_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c4_S39_L001_R2_001.fastq.gz	NA
BRAP	c5	BRAP_1_6_c5	rs184354242	BRAP	6	cDNA	NA	1_6_c5	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c5_S38_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c5_S38_L001_R2_001.fastq.gz	NA
BRAP	c6	BRAP_1_6_c6	rs184354242	BRAP	6	cDNA	NA	1_6_c6	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c6_S37_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_c6_S37_L001_R2_001.fastq.gz	NA
BRAP	g1	BRAP_1_6_g1	rs184354242	BRAP	6	gDNA	NA	1_6_g1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_g1_S45_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_g1_S45_L001_R2_001.fastq.gz	NA
BRAP	g2	BRAP_1_6_g2	rs184354242	BRAP	6	gDNA	NA	1_6_g2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_g2_S44_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_1_reseq_walkup_206/Miseq_run_206/6_g2_S44_L001_R2_001.fastq.gz	NA
