name	replicate	type	bam
C2CD5	C2CD5_23_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_c2_filtered.bam
C2CD5	C2CD5_23_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_c8_filtered.bam
C2CD5	C2CD5_23_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_c1_filtered.bam
C2CD5	C2CD5_23_g2	g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_g2_filtered.bam
C2CD5	C2CD5_23_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_g1_filtered.bam
C2CD5	C2CD5_23_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_c7_filtered.bam
CUX1	CUX1_19_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_c3_filtered.bam
C2CD5	C2CD5_23_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_c4_filtered.bam
CUX1	CUX1_19_g2	g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_g2_filtered.bam
DNMT1	DNMT1_22_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_c1_filtered.bam
CUX1	CUX1_19_c5	c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_c5_filtered.bam
DNMT1	DNMT1_22_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_c3_filtered.bam
CUX1	CUX1_19_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_c2_filtered.bam
C2CD5	C2CD5_23_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_g4_filtered.bam
CUX1	CUX1_19_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_c4_filtered.bam
C2CD5	C2CD5_23_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_c3_filtered.bam
CUX1	CUX1_19_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_c7_filtered.bam
C2CD5	C2CD5_23_c5	c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_c5_filtered.bam
DNMT1	DNMT1_22_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_c4_filtered.bam
C2CD5	C2CD5_23_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_c6_filtered.bam
C2CD5	C2CD5_23_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_23_g3_filtered.bam
