replicate_full	Read_1_file	Read_2_file	read_len	amplicon_size	amplicon_sd	min_overlap	max_mismatch_dens	output_file
C2CD5_23_c1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c1_S65_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c1_S65_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_c1.extendedFrags.fastq.gz
C2CD5_23_c2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c2_S66_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c2_S66_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_c2.extendedFrags.fastq.gz
C2CD5_23_c3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c3_S67_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c3_S67_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_c3.extendedFrags.fastq.gz
C2CD5_23_c4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c4_S68_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c4_S68_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_c4.extendedFrags.fastq.gz
C2CD5_23_c5	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c5_S69_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c5_S69_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_c5.extendedFrags.fastq.gz
C2CD5_23_c6	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c6_S70_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c6_S70_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_c6.extendedFrags.fastq.gz
C2CD5_23_c7	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c7_S71_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c7_S71_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_c7.extendedFrags.fastq.gz
C2CD5_23_c8	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c8_S72_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-c8_S72_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_c8.extendedFrags.fastq.gz
C2CD5_23_g1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-g1_S61_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-g1_S61_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_g1.extendedFrags.fastq.gz
C2CD5_23_g2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-g2_S62_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-g2_S62_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_g2.extendedFrags.fastq.gz
