name	replicate	type	bam
C2CD5	C2CD5_0_23_c1	23_c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_c1_filtered.bam
C2CD5	C2CD5_0_23_c2	23_c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_c2_filtered.bam
C2CD5	C2CD5_0_23_c3	23_c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_c3_filtered.bam
C2CD5	C2CD5_0_23_c4	23_c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_c4_filtered.bam
C2CD5	C2CD5_0_23_c5	23_c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_c5_filtered.bam
C2CD5	C2CD5_0_23_c7	23_c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_c7_filtered.bam
C2CD5	C2CD5_0_23_c8	23_c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_c8_filtered.bam
C2CD5	C2CD5_0_23_g1	23_g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_g1_filtered.bam
C2CD5	C2CD5_0_23_c6	23_c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_c6_filtered.bam
C2CD5	C2CD5_0_23_g2	23_g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_g2_filtered.bam
C2CD5	C2CD5_0_23_g3	23_g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_g3_filtered.bam
C2CD5	C2CD5_0_23_g4	23_g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_0_23_g4_filtered.bam
KLF16	KLF16_0_28_c1	28_c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_c1_filtered.bam
KLF16	KLF16_0_28_c3	28_c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_c3_filtered.bam
KLF16	KLF16_0_28_c2	28_c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_c2_filtered.bam
KLF16	KLF16_0_28_c4	28_c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_c4_filtered.bam
KLF16	KLF16_0_28_c5	28_c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_c5_filtered.bam
KLF16	KLF16_0_28_g2	28_g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_g2_filtered.bam
KLF16	KLF16_0_28_c6	28_c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_c6_filtered.bam
SAV1	SAV1_0_17_c4	17_c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_0_17_c4_filtered.bam
KLF16	KLF16_0_28_g4	28_g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_g4_filtered.bam
KLF16	KLF16_0_28_g1	28_g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_g1_filtered.bam
SAV1	SAV1_0_17_c5	17_c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_0_17_c5_filtered.bam
SAV1	SAV1_0_17_c3	17_c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_0_17_c3_filtered.bam
SAV1	SAV1_0_17_c2	17_c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_0_17_c2_filtered.bam
